Method,AUC-sPRO (mean),AUC-sPRO (std),Privacy (epsilon),Robust Aggregation,Under Attack,Jain's Index,Worst-Case AUC,Mean Deviation,Detection TPR,Detection FPR
Federated (IID),0.16768984035626297,0.05703969866582499,None,No,No,0.8962966650283306,0.09384264014932632,,,
"Robust+Scoring (scaling, 10% mal.)",,,,,,,,0.011274016446611518,1.0,0.0
"Robust (scaling, 10% mal.)",,,,,,,,0.011274016446611518,0.0,0.0
"Standard (scaling, 10% mal.)",,,,,,,,0.19441895687543673,0.0,0.0
"Robust+Scoring (noise, 10% mal.)",,,,,,,,0.011092182300951084,1.0,0.0
"Robust (noise, 10% mal.)",,,,,,,,0.011092182300951084,0.0,0.0
"Standard (noise, 10% mal.)",,,,,,,,0.019927237896548336,0.0,0.0
"Robust+Scoring (sign_flip, 10% mal.)",,,,,,,,0.007716275835739851,0.0,0.0
"Robust (sign_flip, 10% mal.)",,,,,,,,0.007716275835739851,0.0,0.0
"Standard (sign_flip, 10% mal.)",,,,,,,,0.004003926522190576,0.0,0.0
"Robust+Scoring (scaling, 20% mal.)",,,,,,,,0.010320831403073006,0.0,0.0
"Robust (scaling, 20% mal.)",,,,,,,,0.010320831403073006,0.0,0.0
"Standard (scaling, 20% mal.)",,,,,,,,0.3369235180185541,0.0,0.0
"Robust+Scoring (noise, 20% mal.)",,,,,,,,0.011005542152589263,0.0,0.0
"Robust (noise, 20% mal.)",,,,,,,,0.011005542152589263,0.0,0.0
"Standard (noise, 20% mal.)",,,,,,,,0.03576819940168475,0.0,0.0
"Robust+Scoring (sign_flip, 20% mal.)",,,,,,,,0.008744579815127185,0.0,0.0
"Robust (sign_flip, 20% mal.)",,,,,,,,0.008744579815127185,0.0,0.0
"Standard (sign_flip, 20% mal.)",,,,,,,,0.0065826620494481266,0.0,0.0
"Robust+Scoring (scaling, 30% mal.)",,,,,,,,0.011665951576443205,0.0,0.0
"Robust (scaling, 30% mal.)",,,,,,,,0.011665951576443205,0.0,0.0
"Standard (scaling, 30% mal.)",,,,,,,,0.19601431179296305,0.0,0.0
"Robust+Scoring (noise, 30% mal.)",,,,,,,,0.012065636758774012,0.0,0.0
"Robust (noise, 30% mal.)",,,,,,,,0.012065636758774012,0.0,0.0
"Standard (noise, 30% mal.)",,,,,,,,0.020453100038542154,0.0,0.0
"Robust+Scoring (sign_flip, 30% mal.)",,,,,,,,0.007660963159985612,0.0,0.0
"Robust (sign_flip, 30% mal.)",,,,,,,,0.007660963159985612,0.0,0.0
"Standard (sign_flip, 30% mal.)",,,,,,,,0.0037470931783057985,0.0,0.0
"Robust+Scoring (scaling, 40% mal.)",,,,,,,,0.01435240523116396,0.0,0.0
"Robust (scaling, 40% mal.)",,,,,,,,0.01435240523116396,0.0,0.0
"Standard (scaling, 40% mal.)",,,,,,,,0.47706618557902836,0.0,0.0
"Robust+Scoring (noise, 40% mal.)",,,,,,,,0.014402141145788791,0.0,0.0
"Robust (noise, 40% mal.)",,,,,,,,0.014402141145788791,0.0,0.0
"Standard (noise, 40% mal.)",,,,,,,,0.05356291495513704,0.0,0.0
"Robust+Scoring (sign_flip, 40% mal.)",,,,,,,,0.0077144412844579345,0.0,0.0
"Robust (sign_flip, 40% mal.)",,,,,,,,0.0077144412844579345,0.0,0.0
"Standard (sign_flip, 40% mal.)",,,,,,,,0.00450285614230581,0.0,0.0
